title,url,error
"President Mahama shares when he will appoint defence, environment ministers",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-shares-when-he-will-appoint-defence-environment-ministers-2010996,False
Democracy Hub joins Wesley Girls SHS religious discrimination suit,https://www.ghanaweb.com/GhanaHomePage/politics/Democracy-Hub-joins-Wesley-Girls-SHS-religious-discrimination-suit-2010992,False
2 found dead in parked vehicle at Atonsu Agogo shoe factory,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/2-found-dead-in-parked-vehicle-at-Atonsu-Agogo-shoe-factory-2010990,False
Minority challenges High Court decision on Kpandai election,https://www.ghanaweb.com/GhanaHomePage/politics/Minority-challenges-High-Court-decision-on-Kpandai-election-2010983,False
Asogli State pays condolence visit to family of late Nana Konadu Agyeman-Rawlings,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Asogli-State-pays-condolence-visit-to-family-of-late-Nana-Konadu-Agyeman-Rawlings-2010982,False
Body of Burma Camp worker found in Bediasi River,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Body-of-Burma-Camp-worker-found-in-Bediasi-River-2010981,False
Speaker Bagbin receives Mahatma Ghandi award for contributing to world unity,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Speaker-Bagbin-receives-Mahatma-Ghandi-award-for-contributing-to-world-unity-2010973,False
Court orders Gifty Oware to file list of witnesses by December 17,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Court-orders-Gifty-Oware-to-file-list-of-witnesses-by-December-17-2010968,False
Police Council seeks 2-year contract extension for IGP Yohuno,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Police-Council-seeks-2-year-contract-extension-for-IGP-Yohuno-2010966,False
Educated women less likely to report incidents of abuse – Dr Dwamena-Aboagye,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Educated-women-less-likely-to-report-incidents-of-abuse-Dr-Dwamena-Aboagye-2010961,False
Ghana reaffirms development priorities at AU-EU partnership at Luanda Summit,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Ghana-reaffirms-development-priorities-at-AU-EU-partnership-at-Luanda-Summit-2010950,False
LIVESTREAMING: Parliament resumes debate on 2026 budget statement,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/LIVESTREAMING-Parliament-resumes-debate-on-2026-budget-statement-2010948,False
Group demands removal of Special Prosecutor Kissi Agyebeng,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Group-demands-removal-of-Special-Prosecutor-Kissi-Agyebeng-2010944,False
"Court dismisses Ken Ofori-Atta's application, awards GH¢5,000 cost against him",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Court-dismisses-Ken-Ofori-Atta-s-application-awards-GH-5-000-cost-against-him-2010937,False
"3 Chinese nationals, Ghanaians attacked at gunpoint along Bibiani-Goaso Highway",https://www.ghanaweb.com/GhanaHomePage/crime/3-Chinese-nationals-Ghanaians-attacked-at-gunpoint-along-Bibiani-Goaso-Highway-2010935,False
Chief Justice urges Ghanaians to adopt Alternative Dispute Resolution,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Chief-Justice-urges-Ghanaians-to-adopt-Alternative-Dispute-Resolution-2010929,False
2 arrested by IGP special operations team in Tamale,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/2-arrested-by-IGP-special-operations-team-in-Tamale-2010918,False
'I was once sacked from an exam hall for not paying fees' - 86-year-old graduate recounts,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/I-was-once-sacked-from-an-exam-hall-for-not-paying-fees-86-year-old-graduate-recounts-2010915,False
MIIF Board blows GH¢11m on unapproved foreign trips as confidential audit exposes massive breach,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/MIIF-Board-blows-GH-11m-on-unapproved-foreign-trips-as-confidential-audit-exposes-massive-breach-2010914,False
Conduct lifestyle audits that does not target innocent people – Kufuor,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Conduct-lifestyle-audits-that-does-not-target-innocent-people-Kufuor-2010913,False
